geo_id_ads,region
1005511,Aragón
9222431,Aragón
9222650,Aragón
9212872,Aragón
9212248,Aragón
9215324,Aragón
9049218,Aragón
9214978,Aragón
21386,Aragón
9198977,Aragón
9048965,Aragón
9222586,Aragón
9208455,Aragón
9208888,Aragón
9049002,Aragón
9211131,Aragón
9049087,Aragón
9214301,Aragón
9222174,Aragón
9049071,Aragón
9220108,Aragón
9218339,Aragón
9213796,Asturias
9208413,Asturias
9215992,Asturias
9220565,Asturias
9209717,Asturias
9207942,Asturias
9217931,Asturias
9212643,Asturias
1005510,Asturias
9214827,Asturias
9049244,Asturias
9217143,Asturias
9207664,Asturias
9219950,Asturias
9210641,Asturias
9207650,Asturias
9210403,Asturias
9217624,Asturias
9210477,Asturias
9221817,Asturias
9198894,Asturias
9211237,Asturias
9216344,Asturias
9049150,Asturias
9214031,Asturias
9211780,Asturias
9220835,Asturias
9208820,Asturias
9212192,Asturias
9047040,Asturias
9207229,Asturias
9208122,Asturias
9214251,Asturias
9219622,Asturias
9208717,Asturias
9207128,Asturias
9215084,Asturias
9221926,Asturias
9218743,Asturias
9212023,Asturias
9211313,Asturias
9215579,Asturias
9209815,Asturias
9216625,Asturias
9222329,Asturias
9208737,Asturias
9212482,Asturias
9218684,Asturias
9218677,Asturias
9210281,Asturias
9208018,Asturias
9211549,Asturias
9211810,Asturias
9217122,Asturias
9212471,Asturias
9209254,Asturias
9049185,Asturias
9216147,Asturias
1005507,Asturias
9218729,Asturias
9222688,Asturias
1005508,Asturias
9049114,Asturias
9222880,Asturias
1005509,Asturias
9219291,Asturias
9218468,Asturias
9207485,Asturias
9192367,Asturias
9212082,Asturias
9218884,Asturias
9221937,Asturias
9212943,Asturias
9215780,Asturias
9210566,Asturias
9211043,Asturias
9213571,Asturias
9216873,Asturias
9222783,Asturias
9213654,Asturias
20286,Asturias
9214914,Asturias
9217316,Asturias
9219686,Cantabria
9217181,Cantabria
9220015,Cantabria
9210464,Cantabria
9212400,Cantabria
1005526,Cantabria
9214609,Cantabria
9215658,Cantabria
20290,Cantabria
9208002,Cantabria
9207831,Cantabria
9049107,Cantabria
1005524,Cantabria
9221447,Cantabria
9219352,Cantabria
9049207,Cantabria
9216474,Cantabria
9209627,Cantabria
9217492,Cantabria
9215691,Cantabria
9208519,Cantabria
9215508,Cantabria
9209964,Cantabria
9047050,Cantabria
9213441,Cantabria
9049222,Cantabria
9049119,Cantabria
9215701,Cantabria
9214029,Cantabria
9199228,Cantabria
9207313,Cantabria
9222332,Cantabria
9049031,Cantabria
9220706,Cantabria
9197898,Cantabria
9215209,Cantabria
9218365,Cantabria
9221078,Cantabria
9211528,Cantabria
9220271,Cantabria
9049043,Cantabria
9217168,Cantabria
9207194,Cantabria
9190023,Castilla y León
9047047,Castilla y León
9217047,Castilla y León
9049041,Castilla y León
9212756,Castilla y León
1005448,Castilla y León
1005527,Castilla y León
1005452,Castilla y León
9217419,Castilla y León
9209022,Castilla y León
9208601,Castilla y León
9217283,Castilla y León
9212732,Castilla y León
9196730,Castilla y León
9049160,Castilla y León
9209447,Castilla y León
9208289,Castilla y León
9208386,Castilla y León
1005546,Castilla y León
9047048,Castilla y León
9214540,Castilla y León
9222799,Castilla y León
1005528,Castilla y León
9219297,Castilla y León
9214769,Castilla y León
9049007,Castilla y León
9049009,Castilla y León
9209474,Castilla y León
